link,ean,catI,catII,catIII,descricao,preco,imagem_link
https://www.superabc.com.br/7891149108428cerv-lata-skol-puro-malte-473ml/p,7891149108428,Bebidas,Cervejas,Premium,CERVEJA LATA SKOL PURO MALTE 473ML - UNIDADE,2.99,https://abcemcasa.vteximg.com.br/arquivos/ids/241799-1000-1000/Cerveja-Puro-Malte-Skol-473ml-Lata.png?v=636941533265500000
https://www.superabc.com.br/7896021314690-mac-s-amalia-fusilli-s-gluten-500g/p,7896021314690,Mercearia,Funcionais, Diet e Light,Sem Glúten,MACARRÃO SANTA AMÁLIA FUSILLI SEM  GLUTEN 500G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/261930-1000-1000/7896021314690.jpg?v=637002333197030000
https://www.superabc.com.br/7896102592993mh-heinz-manjeric-sache-340g/p,7896102592993,Mercearia,Conservas e Enlatados,Condimento e Temperos,MOLHO HEINZ MANJERIC SACHE 340G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269150-1000-1000/7896102592993.jpg?v=637008075647070000
https://www.superabc.com.br/7898591451492-bala-fini-dentadura-250g/p,7898591451492,Mercearia,Bomboniere,Guloseimas,BALA FINI DENTADURA 250G - UNIDADE,9.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250534-1000-1000/7898591451492.jpg?v=637002221292430000
https://www.superabc.com.br/7896021314683-mac-s-amalia-penne-s-gluten-500g/p,7896021314683,Mercearia,Funcionais, Diet e Light,Sem Glúten,MACARRÃO SANTA AMÁLIA PENNE SEM  GLUTEN 500G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/261996-1000-1000/7896021314683.jpg?v=637002333393400000
https://www.superabc.com.br/7896045523412cerv-lata-heineken-350ml/p,7896045523412,Bebidas,Cervejas,Premium,CERVEJA LATA HEINEKEN 350ML - UNIDADE,4.0,https://abcemcasa.vteximg.com.br/arquivos/ids/239276-1000-1000/7896045523412.jpg?v=636935437164100000
https://www.superabc.com.br/7896102000368catchup-heinz-bacon-397g/p,7896102000368,Mercearia,Conservas e Enlatados,Condimento e Temperos,CATCHUP HEINZ BACON 397G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269140-1000-1000/7896102000368.jpg?v=637008075583800000
https://www.superabc.com.br/7898591451485-bala-fini-amoras-250g/p,7898591451485,Mercearia,Bomboniere,Guloseimas,BALA FINI AMORAS 250G - UNIDADE,9.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250520-1000-1000/7898591451485.jpg?v=637002221232870000
https://www.superabc.com.br/cookies-intg-cereale-cacau-avela-140g/p,7891962042275,Mercearia,Funcionais, Diet e Light,Integrais,COOKIES INTEGRAL CEREALE CACAU AVELÃ 140G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/254667-1000-1000/7891962042275.jpg?v=637002257287100000
https://www.superabc.com.br/7896045505340cerv-lata--amstel-473ml/p,7896045505340,Bebidas,Cervejas,Premium,CERVEJA LATA  AMSTEL 473ML - UNIDADE,3.5,https://abcemcasa.vteximg.com.br/arquivos/ids/241005-1000-1000/7896045505340.jpg?v=636936307366730000
https://www.superabc.com.br/7898101668532pim-reino-preta-grao-multi-gosto-28g/p,7898101668532,Mercearia,Conservas e Enlatados,Condimento e Temperos,PIMENTA REINO PRETA GRÃO MULTI GOSTO 28G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/270054-1000-1000/7898101668532.jpg?v=637009662832200000
https://www.superabc.com.br/7898142861725-choc-tortuguita-bco-cookies-100g/p,7898142861725,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE TORTUGUITA BRANCO COOKIES 100G - UNIDADE,4.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253787-1000-1000/7898142861725.jpg?v=637002253223800000
https://www.superabc.com.br/8008698008157-bisc-rech-schar-s-gluten-100g/p,8008698008157,Mercearia,Funcionais, Diet e Light,Sem Glúten,BISCOITO RECHEADO SCHAR SEM  GLUTEN 100G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/251732-1000-1000/Principal.jpg?v=637002226455970000
https://www.superabc.com.br/7891991010153-cerv-lata-sub-zero-473ml/p,7891991010153,Bebidas,Cervejas,Pilsen,CERVEJA LATA SUB ZERO 473ML - UNIDADE,2.39,https://abcemcasa.vteximg.com.br/arquivos/ids/228865-1000-1000/7891991010153.jpg?v=636933758296030000
https://www.superabc.com.br/7898958581510ketchup-bonna-mix-400g/p,7898958581510,Mercearia,Conservas e Enlatados,Condimento e Temperos,KETCHUP BONNA MIX 400G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/270646-1000-1000/7898958581510.jpg?v=637015570058530000
https://www.superabc.com.br/7898142861701-choc-tortuguita-croc-100g/p,7898142861701,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE TORTUGUITA CROC 100G - UNIDADE,4.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253790-1000-1000/7898142861701.jpg?v=637002253237270000
https://www.superabc.com.br/7891991010023cerv-lata-sub-zero-350ml/p,7891991010023,Bebidas,Cervejas,Pilsen,CERVEJA LATA SUB ZERO 350ML - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/238856-1000-1000/7891991010023.jpg?v=636935435182570000
https://www.superabc.com.br/8008698003503-bisc-schar-crakers-s-gluten-210g/p,8008698003503,Mercearia,Funcionais, Diet e Light,Sem Glúten,BISCOITO SCHAR CRAKERS SEM  GLUTEN 210G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/251782-1000-1000/Principal.jpg?v=637002226681570000
https://www.superabc.com.br/5601252112319az-vde-gallo-c-c-150g/p,5601252112319,Mercearia,Conservas e Enlatados,Outros,AZEITONA VERDE GALLO C/CAROÇO 150G - UNIDADE - AZEITONA VERDE GALLO C/CAROÇO  150G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/268815-1000-1000/5601252112319.jpg?v=637008073583900000
https://www.superabc.com.br/7898142854529-choc-tortuguita-ao-leite-c-4/p,7898142854529,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE TORTUGUITA AO LEITE COM 4 - UNIDADE,5.19,https://abcemcasa.vteximg.com.br/arquivos/ids/253782-1000-1000/7898142854529.jpg?v=637002253199170000
https://www.superabc.com.br/7891991010177cerv-lata-bohemia-269ml/p,7891991010177,Bebidas,Cervejas,Pilsen,CERVEJA LATA BOHEMIA 269ML,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/274628-1000-1000/7891991010177.jpg?v=637122718841770000
https://www.superabc.com.br/7898904507434most-gourmet-sabor-indias-jalapeno-335g/p,7898904507434,Mercearia,Conservas e Enlatados,Condimento e Temperos,MOSTARDA GOURMET SABOR INDIAS JALAPENO 335G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/274426-1000-1000/7898904507434.jpg?v=637032876183470000
https://www.superabc.com.br/7898908207248-manteiga-gran-mestri-0-lac-200g/p,7898908207248,Mercearia,Funcionais, Diet e Light,Sem Lactose,MANTEIGA GRAN MESTRI 0%LAC 200G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/262307-1000-1000/7898908207248.jpg?v=637002334324030000
https://www.superabc.com.br/7898120560725-suspiro-barbierie-trad-250g/p,7898120560725,Mercearia,Bomboniere,Doces Diversos,SUSPIRO BARBIERI TRADICIONAL 250G - UNIDADE,5.99,https://abcemcasa.vteximg.com.br/arquivos/ids/240072-1000-1000/7898120560725.jpg?v=636935440829470000
https://www.superabc.com.br/7891991014236-cerv-lata-bohemia-473ml/p,7891991014236,Bebidas,Cervejas,Premium,CERVEJA LATA BOHEMIA 473ML - UNIDADE,3.39,https://abcemcasa.vteximg.com.br/arquivos/ids/269043-1000-1000/7891991014236.jpg?v=637008075011200000
https://www.superabc.com.br/7898947526928pate-sabor-indias-pim-biq-def-350g/p,7898947526928,Mercearia,Conservas e Enlatados,Condimento e Temperos,PATÊ  SABOR INDIAS PIM BIQ DEF 350G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/274447-1000-1000/7898947526928.jpg?v=637032876393030000
https://www.superabc.com.br/7898120560664-suspiro-barbiere-mor150g/p,7898120560664,Mercearia,Bomboniere,Doces Diversos,SUSPIRO BARBIERE MORANGO150G - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/227175-1000-1000/7898120560664.jpg?v=636933751234300000
https://www.superabc.com.br/oleo-coco-copra-s-sabor-500ml/p,7898596080581,Mercearia,Funcionais, Diet e Light,Integrais,ÓLEO COCO COPRA S SABOR 500ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/266171-1000-1000/7898596080581.jpg?v=637002782231730000
https://www.superabc.com.br/cerv-ln-heineken-330ml/p,78936683,Bebidas,Cervejas,Premium,CERVEJA LONG NECK HEINEKEN 330ML - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/242452-1000-1000/78936683.jpg?v=636943335304800000
https://www.superabc.com.br/7891700012102tempero-arisco-alho-sal-300g/p,7891700012102,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO ALHO SAL 300G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/245625-1000-1000/Principal.png?v=636949236841900000
https://www.superabc.com.br/7898120560657-suspiro-barbiere-limao-150g/p,7898120560657,Mercearia,Bomboniere,Doces Diversos,SUSPIRO BARBIERE LIMÃO 150G - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/227174-1000-1000/7898120560657.jpg?v=636933751225830000
https://www.superabc.com.br/acucar-coco-copra-sache-100g/p,7898596080376,Mercearia,Funcionais, Diet e Light,Integrais,AÇÚCAR COCO COPRA SACHE 100G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/266170-1000-1000/7898596080376.jpg?v=637002782225730000
https://www.superabc.com.br/7896423419276choc-m-m-ao-leite-tubo-30g/p,7896423419276,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE M&M AO LEITE TUBO 30G - UNIDADE,3.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253693-1000-1000/Principal.jpg?v=637002252838100000
https://www.superabc.com.br/7897395099329-cerv-lt-petra-puro-malte-350ml/p,7897395099329,Bebidas,Cervejas,Premium,CERVEJA LT PETRA PURO MALTE 350ML - UNIDADE,2.49,https://abcemcasa.vteximg.com.br/arquivos/ids/241596-1000-1000/7897395099329.jpg?v=636936310479830000
https://www.superabc.com.br/7891700011266tempero-arisco-completo-s-pimenta-1kg/p,7891700011266,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO COMPLETO S PIMENTA 1KG - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/237218-1000-1000/7891700011266.jpg?v=636935429229000000
https://www.superabc.com.br/7898205924688-whey-vde-campo-lacfree-pasta-amend-250g/p,7898205924688,Mercearia,Funcionais, Diet e Light,Sem Lactose,WHEY VERDE CAMPO LACFREE PASTA AMENDOIM 250G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/227405-1000-1000/7898205924688.jpg?v=636933752559400000
https://www.superabc.com.br/7891149107797-cerv-lata-brahma-350ml-c-18/p,7891149107797,Bebidas,Cervejas,Pilsen,CERVEJA LATA BRAHMA 350ML C/18 - UNIDADE,41.22,https://abcemcasa.vteximg.com.br/arquivos/ids/245502-1000-1000/2019272.jpg?v=636949193540400000
https://www.superabc.com.br/7896262304351bala-mentos-stick-fruit-375g/p,7896262304351,Mercearia,Bomboniere,Guloseimas,BALA MENTOS STICK FRUIT 37,5G - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250606-1000-1000/7896262304351.jpg?v=637002221618600000
https://www.superabc.com.br/7891700011204tempero-arisco-completo-s-pimenta-300g/p,7891700011204,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO COMPLETO S PIMENTA 300G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/245627-1000-1000/Principal.png?v=636949239675570000
https://www.superabc.com.br/7898205924480-iog-vde-campo-lacfree-mor-170g/p,7898205924480,Mercearia,Funcionais, Diet e Light,Sem Lactose,IOGURTE VERDE CAMPO LACFREE MORANGO 170G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/258995-1000-1000/224395_Iogurte-Lacfree-Sabor-Morango-Verde-Campo-170g.jpg?v=637002309519870000
https://www.superabc.com.br/7898945987042-cerv-lata-proibida-473ml/p,7898945987042,Bebidas,Cervejas,Pilsen,CERVEJA LATA PROIBIDA 473ML - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/244461-1000-1000/Principal.png?v=636947778805570000
