,url,ean,cat1,cat2,cat3,desc,preco,imagem
0,https://www.superabc.com.br/611269991000beb-energ-red-bull-250ml/p,611269991000,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA RED BULL 250ML - UNIDADE,7.49,https://abcemcasa.vteximg.com.br/arquivos/ids/237248-1000-1000/611269991000.jpg?v=636935429423030000
1,https://www.superabc.com.br/7892840808044beb-isot-gatorade-tangr-500ml/p,7892840808044,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ISOTÔNICA GATORADE TANGERINA 500ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/268011-1000-1000/7892840808044.jpg?v=637006909054070000
2,https://www.superabc.com.br/7892840808020beb-isot-gatorade-lar-500ml/p,7892840808020,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ISOTÔNICA GATORADE LARANJA 500ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/238064-1000-1000/7892840808020.jpg?v=636935433260870000
3,https://www.superabc.com.br/9002490229160beb-energ-red-bull-tropic-edition-250ml/p,9002490229160,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA RED BULL TROPIC EDITION 250ML - UNIDADE,7.49,https://abcemcasa.vteximg.com.br/arquivos/ids/240767-1000-1000/9002490229160.jpg?v=636936306227600000
4,https://www.superabc.com.br/7892840808013beb-isot-gatorade-frutas-citricas-500ml/p,7892840808013,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ISOTÔNICA GATORADE FRUTAS CITRICAS 500ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/268009-1000-1000/7892840808013.jpg?v=637006909045970000
5,https://www.superabc.com.br/70847022206beb-energ-monster-ultra-473ml/p,70847022206,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA MONSTER ULTRA 473ML - UNIDADE,6.49,https://abcemcasa.vteximg.com.br/arquivos/ids/273189-1000-1000/10708470222065.jpg?v=637031167176570000
6,https://www.superabc.com.br/9002490214166-beb-energ-red-bull-473ml/p,9002490214166,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA RED BULL 473ML - UNIDADE,11.99,https://abcemcasa.vteximg.com.br/arquivos/ids/239889-1000-1000/9002490214166.jpg?v=636935439969300000
7,https://www.superabc.com.br/7891991010580bebida-energetica-fusion-250ml/p,7891991010580,Bebidas,Energéticos e Isotônicos,,BEBIDA ENERGÉTICA FUSION 250ML,2.99,https://abcemcasa.vteximg.com.br/arquivos/ids/274758-1000-1000/7891991010580.png?v=637169343145800000
8,https://www.superabc.com.br/7894900121902hidrotonico-i-9-tangr-500ml/p,7894900121902,Bebidas,Energéticos e Isotônicos,Energéticos,HIDROTÔNICO I 9 TANGERINA 500ML - UNIDADE,3.79,https://abcemcasa.vteximg.com.br/arquivos/ids/238740-1000-1000/7894900121902.jpg?v=636935434904600000
9,https://www.superabc.com.br/7894900401141beb-energ-burn-260ml/p,7894900401141,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA BURN 260ML - UNIDADE,4.5,https://abcemcasa.vteximg.com.br/arquivos/ids/237432-1000-1000/7894900401141.jpg?v=636935430475970000
10,https://www.superabc.com.br/7894900110005-hidrotonico-i-9-uva-vde-500ml/p,7894900110005,Bebidas,Energéticos e Isotônicos,Energéticos,HIDROPÔNICO I 9 UVA VERDE 500ML - UNIDADE,3.79,https://abcemcasa.vteximg.com.br/arquivos/ids/265944-1000-1000/7894900110005.jpg?v=637002780975530000
11,https://www.superabc.com.br/7898221853337-beb-energ-gold-energy-2l/p,7898221853337,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA GOLD ENERGY 2 LITRO - UNIDADE,7.99,https://abcemcasa.vteximg.com.br/arquivos/ids/274459-1000-1000/7898221853337.jpg?v=637038135897600000
12,https://www.superabc.com.br/70847022015-beb-energ-monster-energy-473ml/p,70847022015,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA MONSTER ENERGY 473ML - UNIDADE,6.49,https://abcemcasa.vteximg.com.br/arquivos/ids/271065-1000-1000/70847022015.jpg?v=637027976175470000
13,https://www.superabc.com.br/7894900111903hidrotonico-i-9-limao-500ml/p,7894900111903,Bebidas,Energéticos e Isotônicos,Energéticos,HIDROTÔNICO I 9 LIMÃO 500ML - UNIDADE,3.79,https://abcemcasa.vteximg.com.br/arquivos/ids/224838-1000-1000/7894900111903.jpg?v=636933741189700000
14,https://www.superabc.com.br/7897395031602-beb-energ-tnt-269ml/p,7897395031602,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA TNT 269ML - UNIDADE,4.49,https://abcemcasa.vteximg.com.br/arquivos/ids/239708-1000-1000/7897395031602.jpg?v=636935439134430000
15,https://www.superabc.com.br/611269101713beb-energ-red-bull-sugarfree-250ml/p,611269101713,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA RED BULL SUGARFREE 250ML - UNIDADE,7.49,https://abcemcasa.vteximg.com.br/arquivos/ids/238409-1000-1000/611269101713.jpg?v=636935434108700000
16,https://www.superabc.com.br/7892840808037beb-isot-gatorade-limao-500ml/p,7892840808037,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ISOTÔNICA GATORADE LIMÃO 500ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/268010-1000-1000/7892840808037.jpg?v=637006909049700000
17,https://www.superabc.com.br/9002490220792-beb-energ-red-bull-cranberry-250ml/p,9002490220792,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA RED BULL CRANBERRY 250ML - UNIDADE,,https://abcemcasa.vteximg.com.br/arquivos/ids/239892-1000-1000/9002490220792.jpg?v=636935439982900000
18,https://www.superabc.com.br/7892840808051beb-isot-gatorade-uva-500ml/p,7892840808051,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ISOTÔNICA GATORADE UVA 500ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/268012-1000-1000/7892840808051.jpg?v=637006909059530000
19,https://www.superabc.com.br/7892840808068beb-isot-gatorade-maracj-500ml/p,7892840808068,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ISOTÔNICA GATORADE MARACUJÁ 500ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/268013-1000-1000/7892840808068.jpg?v=637006909063130000
20,https://www.superabc.com.br/7894000010021amido-milho-maizena-500g/p,7894000010021,Mercearia,Alimentos Infantis,,AMIDO MILHO MAIZENA 500G - PACOTE,7.99,https://abcemcasa.vteximg.com.br/arquivos/ids/249937-1000-1000/Amido-de-Milho-Maizena-Duryea-Caixa-500g.jpg?v=637002216140230000
21,https://www.superabc.com.br/9002490209346-beb-energ-red-bull-355ml/p,9002490209346,Bebidas,Energéticos e Isotônicos,Energéticos,BEBIDA ENERGÉTICA RED BULL 355ML - UNIDADE,,https://abcemcasa.vteximg.com.br/arquivos/ids/242225-1000-1000/9002490209346.jpg?v=636943334139470000
22,https://www.superabc.com.br/7891000002148cereal-snow-flakes-300g/p,7891000002148,Mercearia,Alimentos Infantis,,CEREAL SNOW FLAKES 300G - UNIDADE,8.0,https://abcemcasa.vteximg.com.br/arquivos/ids/253366-1000-1000/7891000002148.jpg?v=637002251573330000
23,https://www.superabc.com.br/7891000252604far-lactea-nestle-400g/p,7891000252604,Mercearia,Alimentos Infantis,,FARINHA LACTEA NESTLÉ 400G - UNIDADE,10.9,https://abcemcasa.vteximg.com.br/arquivos/ids/257011-1000-1000/7891000252604.jpg?v=637002288573930000
24,https://www.superabc.com.br/7891000257982-cereal-nescau-4-graos-nestle-210g/p,7891000257982,Mercearia,Alimentos Infantis,,CEREAL NESCAU 4 GRÃOS NESTLÉ 210G - UNIDADE,14.99,https://abcemcasa.vteximg.com.br/arquivos/ids/253348-1000-1000/7891000257982.jpg?v=637002251508500000
25,https://www.superabc.com.br/7891000085028-cereal-nestle-nesfit-frutas-300gr/p,7891000085028,Mercearia,Alimentos Infantis,,CEREAL NESTLÉ NESFIT FRUTAS 300GR - UNIDADE,13.9,https://abcemcasa.vteximg.com.br/arquivos/ids/253362-1000-1000/7891000085028.jpg?v=637002251558100000
26,https://www.superabc.com.br/7891000049075sop-nestle-car-ovos-115g/p,7891000049075,Mercearia,Alimentos Infantis,,SOPA NESTLÉ CARNE OVOS 115G - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/237324-1000-1000/7891000049075.jpg?v=636935429883500000
27,https://www.superabc.com.br/7891000049051sop-nestle-peito-fgo-leg-115g/p,7891000049051,Mercearia,Alimentos Infantis,,SOPA NESTLÉ PEITO FRANGO LEG 115G - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/237327-1000-1000/7891000049051.jpg?v=636935429900230000
28,https://www.superabc.com.br/7891150058484mix-cereais-maizena-inst-180g/p,7891150058484,Mercearia,Alimentos Infantis,,MIX CEREAIS MAIZENA INST 180G - UNIDADE,6.89,https://abcemcasa.vteximg.com.br/arquivos/ids/262763-1000-1000/7891150058484.jpg?v=637002335733600000
29,https://www.superabc.com.br/7891000049044sop-nestle-car-mand-115g/p,7891000049044,Mercearia,Alimentos Infantis,,SOPA NESTLÉ CARNE MANDIOCA 115G - UNIDADE,4.8,https://abcemcasa.vteximg.com.br/arquivos/ids/237323-1000-1000/7891000049044.jpg?v=636935429875070000
