0,Age,Embarked_Q,Embarked_S,Fare,Parch,Pclass,Sex_male,SibSp
,33.0,0.0,1.0,27.75,2.0,2.0,0.0,1.0
,42.0,0.0,1.0,26.0,0.0,2.0,0.0,1.0
,25.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,40.0,0.0,0.0,27.7208,0.0,1.0,1.0,0.0
,19.0,0.0,0.0,91.0792,0.0,1.0,0.0,1.0
,42.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,30.0,0.0,0.0,24.0,0.0,2.0,1.0,1.0
,25.0,0.0,0.0,55.4417,0.0,1.0,1.0,1.0
,39.0,0.0,0.0,83.1583,1.0,1.0,0.0,1.0
,24.0,0.0,0.0,79.2,0.0,1.0,1.0,0.0
,21.0,0.0,1.0,7.65,0.0,3.0,0.0,0.0
,26.0,0.0,1.0,8.6625,0.0,3.0,1.0,2.0
,17.0,0.0,1.0,8.6625,0.0,3.0,1.0,0.0
,6.0,0.0,1.0,33.0,1.0,2.0,0.0,0.0
,52.0,0.0,1.0,13.5,0.0,2.0,1.0,0.0
,25.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,26.0,0.0,1.0,26.0,1.0,2.0,0.0,1.0
,42.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,31.0,0.0,1.0,164.8667,2.0,1.0,0.0,0.0
,34.0,0.0,1.0,13.0,0.0,2.0,1.0,0.0
,36.0,0.0,1.0,10.5,0.0,2.0,1.0,0.0
,28.0,0.0,1.0,13.0,0.0,2.0,0.0,0.0
,29.0,0.0,1.0,21.075,4.0,3.0,0.0,0.0
,49.0,0.0,0.0,110.8833,1.0,1.0,1.0,1.0
,29.0,0.0,1.0,9.5,0.0,3.0,1.0,0.0
,2.0,0.0,1.0,27.9,2.0,3.0,0.0,3.0
,25.0,0.0,1.0,151.55,2.0,1.0,0.0,1.0
,18.0,0.0,1.0,18.0,0.0,3.0,0.0,2.0
,47.0,0.0,1.0,25.5875,0.0,1.0,1.0,0.0
,20.5,0.0,1.0,7.25,0.0,3.0,1.0,0.0
,22.0,0.0,1.0,29.0,1.0,2.0,0.0,1.0
,24.0,0.0,1.0,65.0,2.0,2.0,0.0,1.0
,39.0,0.0,1.0,55.9,0.0,1.0,0.0,1.0
,40.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
,19.0,0.0,1.0,10.1708,0.0,3.0,1.0,0.0
,25.0,1.0,0.0,7.7417,0.0,3.0,1.0,0.0
,47.0,0.0,1.0,38.5,0.0,1.0,1.0,0.0
,24.0,0.0,0.0,19.2583,3.0,3.0,0.0,0.0
,32.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,39.0,0.0,1.0,24.15,0.0,3.0,1.0,0.0
,16.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,14.0,0.0,1.0,39.6875,1.0,3.0,1.0,4.0
,26.0,0.0,1.0,16.1,0.0,3.0,0.0,1.0
,43.0,0.0,1.0,26.25,1.0,2.0,1.0,1.0
,51.0,0.0,1.0,7.75,0.0,3.0,1.0,0.0
,32.0,0.0,1.0,56.4958,0.0,3.0,1.0,0.0
,32.0,0.0,1.0,15.85,0.0,3.0,1.0,1.0
,22.0,0.0,1.0,7.25,0.0,3.0,0.0,0.0
,25.0,0.0,1.0,7.25,0.0,3.0,1.0,0.0
,32.0,0.0,1.0,7.925,0.0,3.0,1.0,0.0
,36.0,0.0,1.0,27.75,2.0,2.0,1.0,1.0
,35.0,0.0,1.0,7.05,0.0,3.0,1.0,0.0
,17.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0
,22.0,0.0,0.0,49.5,2.0,1.0,0.0,0.0
,29.0,0.0,1.0,26.0,0.0,2.0,0.0,1.0
,18.0,0.0,1.0,11.5,0.0,2.0,1.0,0.0
,0.42,0.0,0.0,8.5167,1.0,3.0,1.0,0.0
,30.5,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,11.0,0.0,1.0,120.0,2.0,1.0,1.0,1.0
,20.0,0.0,1.0,9.5,0.0,3.0,1.0,0.0
,24.0,0.0,0.0,247.5208,1.0,1.0,1.0,0.0
,27.0,0.0,1.0,11.1333,2.0,3.0,0.0,0.0
,21.0,0.0,1.0,7.925,0.0,3.0,1.0,0.0
,25.0,0.0,1.0,26.0,0.0,2.0,1.0,1.0
,21.0,1.0,0.0,7.75,0.0,3.0,0.0,0.0
,24.5,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,43.0,0.0,1.0,6.45,0.0,3.0,1.0,0.0
,22.0,0.0,1.0,7.5208,0.0,3.0,1.0,0.0
,36.0,0.0,0.0,135.6333,0.0,1.0,0.0,0.0
,18.0,0.0,1.0,7.8542,1.0,3.0,1.0,1.0
,21.0,0.0,1.0,8.05,0.0,3.0,1.0,0.0
,5.0,0.0,1.0,27.75,2.0,2.0,0.0,1.0
,28.5,0.0,0.0,7.2292,0.0,3.0,1.0,0.0
,71.0,0.0,0.0,34.6542,0.0,1.0,1.0,0.0
,24.0,0.0,1.0,7.05,0.0,3.0,1.0,0.0
,32.0,0.0,1.0,7.8542,0.0,3.0,1.0,0.0
,29.0,0.0,1.0,30.0,0.0,1.0,1.0,0.0
