,CNPJ_FUNDO,DT_COMPTC,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA,NR_COTST,rentabilidade,DENOM_SOCIAL,TAXA_PERFM,TAXA_ADM,CNPJ_CONTROLADOR,CONTROLADOR,dolar
0,00.524.617/0001-06,2019-03-06,6177738.75,9.307877,6183613.95,0.0,0.0,85,1.440157580888357,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8297
1,00.822.954/0001-80,2019-03-06,172349288.68,10.320632,172277782.23,0.0,0.0,110,1.458604229404692,ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8297
2,01.623.535/0001-81,2019-03-06,760582484.77,80.212807,760707975.22,0.0,6845526.26,334,1.4593238557712107,ITAÚ CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8297
3,02.222.178/0001-02,2019-03-06,140417135.33,5.871192,140542005.91,14.43,35987.37,1753,1.4543386597855257,ITAÚ PERSONNALITÉ CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,1.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8297
4,02.543.933/0001-50,2019-03-06,57368633.13,5.024305,57361299.55,246158.57,123726.74,2016,1.4382030311787641,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL,0.0,2.5,62.318.407/0001-19,SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3.8297
5,03.319.016/0001-50,2019-03-06,240785158.15,3.239303058,240351043.18,457028.36,250324.85,42,1.4608280398321627,VOTORANTIM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL DOLAR,0.0,0.85,03.384.738/0001-98,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,3.8297
6,04.061.044/0001-82,2019-03-06,380636784.56,16.614913,380615996.58,265164.8,508876.91,861,1.437823813635264,BB CAMBIAL DÓLAR LP VIP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.8,00.000.000/0001-91,BANCO DO BRASIL S.A.,3.8297
7,04.128.893/0001-06,2019-03-06,77290122.73,2.319007,77272910.92,467716.56,393060.02,2017,1.4371310394059478,BB CAMBIAL DOLAR LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,1.0,00.000.000/0001-91,BANCO DO BRASIL S.A.,3.8297
8,04.244.149/0001-77,2019-03-06,72309835.23,2.4252061,72302936.4,0.0,4000.0,206,1.4333637551798173,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL DÓLAR SPECIAL,0.0,1.0,60.746.948/0001-12,BANCO BRADESCO S.A.,3.8297
9,05.114.733/0001-70,2019-03-06,61888607.05,2.342324,61883029.72,28293.62,139144.45,1318,1.459875830636559,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA CAMBIAL DÓLAR,0.0,1.0,00.360.305/0001-04,CAIXA ECONOMICA FEDERAL,3.8297
10,00.524.617/0001-06,2019-03-07,6258387.91,9.436202,6263858.48,0.0,5007.42,85,1.3786709901731697,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8481
11,00.822.954/0001-80,2019-03-07,176620153.45,10.464744,176544935.2,1866546.0,5000.0,110,1.3963485957061428,ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8481
12,01.623.535/0001-81,2019-03-07,771193955.34,81.333995,771202167.34,277215.0,415945.77,335,1.3977668179596447,ITAÚ CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8481
13,02.222.178/0001-02,2019-03-07,142269194.83,5.952957,142473972.24,60000.0,85291.04,1753,1.3926473533824035,ITAÚ PERSONNALITÉ CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,1.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8481
14,02.543.933/0001-50,2019-03-07,58025441.84,5.0934476,58019220.16,200353.73,331816.81,2026,1.3761624742128609,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL,0.0,2.5,62.318.407/0001-19,SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3.8481
15,03.319.016/0001-50,2019-03-07,246984197.68,3.284714225,245870249.97,3071287.22,921515.53,42,1.4018807807392397,VOTORANTIM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL DOLAR,0.0,0.85,03.384.738/0001-98,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,3.8481
16,04.061.044/0001-82,2019-03-07,382066441.86,16.805822,382045349.38,976000.0,3920025.14,853,1.1490219659892054,BB CAMBIAL DÓLAR LP VIP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.8,00.000.000/0001-91,BANCO DO BRASIL S.A.,3.8481
17,04.128.893/0001-06,2019-03-07,77690120.64,2.345637,77669711.07,89137.5,579690.28,2015,1.1483363353366194,BB CAMBIAL DOLAR LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,1.0,00.000.000/0001-91,BANCO DO BRASIL S.A.,3.8481
18,04.244.149/0001-77,2019-03-07,73108315.83,2.4573473,73098283.39,0.0,162880.09,204,1.3252976726390253,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAMBIAL DÓLAR SPECIAL,0.0,1.0,60.746.948/0001-12,BANCO BRADESCO S.A.,3.8481
19,05.114.733/0001-70,2019-03-07,62832195.7,2.375047,62823454.35,128976.64,53074.62,1321,1.3970313244452859,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA CAMBIAL DÓLAR,0.0,1.0,00.360.305/0001-04,CAIXA ECONOMICA FEDERAL,3.8481
20,00.524.617/0001-06,2019-03-08,6226917.58,9.394512,6234184.4,0.0,2000.0,85,-0.44180910921575167,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8672
21,00.822.954/0001-80,2019-03-08,175722446.68,10.418804,175765707.93,0.0,4196.23,110,-0.4389978388386728,ITAÚ B CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8672
22,01.623.535/0001-81,2019-03-08,753783444.89,80.976499,767837638.79,45000.0,19784.25,336,-0.43954068652350964,ITAÚ CAMBIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,0.5,60.701.190/0001-04,ITAU UNIBANCO S.A.,3.8672
