CNPJ_FUNDO,DT_COMPTC,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA,NR_COTST,rentabilidade,DENOM_SOCIAL,TAXA_PERFM,TAXA_ADM,CNPJ_CONTROLADOR,CONTROLADOR
00.524.617/0001-06,2019-03-06,6177738.75,9.307877,6183613.95,0.0,0.0,85,1.440157580888357,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-07,6258387.91,9.436202,6263858.48,0.0,5007.42,85,1.3786709901731697,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-08,6226917.58,9.394512,6234184.4,0.0,2000.0,85,-0.44180910921575167,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-11,6188070.25,9.332388,6192958.44,0.0,0.0,85,-0.6612796918030517,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-12,6142117.23,9.262532,6146602.24,0.0,0.0,85,-0.7485329585525169,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-13,6144517.64,9.265546,6148602.23,0.0,0.0,85,0.032539698648270665,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-14,6197885.85,9.345365,6201569.9,0.0,0.0,85,0.8614602960257178,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-15,6151893.64,9.277709,6155174.05,0.0,1500.0,85,-0.7239524619958582,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-18,6112041.4,9.217036,6114920.83,0.0,0.0,85,-0.6539653270004386,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-19,6093306.55,9.188196,6095787.44,0.0,0.0,85,-0.3128988538180888,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-20,6036255.58,9.101604,6038339.08,0.0,0.0,85,-0.942426565563026,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-21,6123343.6,9.232278,6125033.13,0.0,0.0,85,1.4357249557330976,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-22,6267920.09,9.449594,6269208.49,0.0,0.0,85,2.3538719263002994,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-25,6231030.36,9.393375,6231911.03,0.0,0.0,85,-0.5949356131067507,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-26,6233027.99,9.395775,6233503.16,0.0,0.0,85,0.025549922152579008,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-27,6369937.99,9.601541,6370015.56,0.0,0.0,85,2.1899843280623443,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-28,6275302.12,9.502179,6275267.42,0.0,28828.3,84,-1.0348547175916822,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.524.617/0001-06,2019-03-29,6269558.33,9.504574,6275348.9,0.0,1500.0,84,0.025204745143181384,CAMBIAL DÓLAR - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,0.0,2.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-06,2673509.71,6.7782783,2676491.39,0.0,61.0,221,1.4352210139768395,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-07,2701307.37,6.8769372,2706227.09,0.0,9221.02,220,1.4555156285040782,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-08,2686917.02,6.8459571,2694035.72,0.0,0.0,220,-0.4504926989881586,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-11,2669537.82,6.800317,2676075.33,0.0,0.0,220,-0.6666723050309464,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-12,2654630.46,6.748777,2660793.19,5000.0,0.0,220,-0.7579058446834153,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-13,2655416.39,6.750363,2661418.51,0.0,0.0,220,0.023500554248578887,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-14,2678432.32,6.8077926,2684060.89,0.0,0.0,220,0.8507631367379753,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-15,2658913.5,6.7578685,2664877.65,500.0,0.0,220,-0.7333375579038681,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-18,2636635.98,6.7128197,2642470.63,0.0,4642.6,219,-0.6666125569031123,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-19,2628293.86,6.6909543,2633863.43,0.0,0.0,219,-0.32572601346644303,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-20,2605039.41,6.6268436,2610446.5,2000.0,180.0,219,-0.9581697486709673,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-21,2642703.03,6.7220789,2647961.61,0.0,0.0,219,1.4371140432527962,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-22,2705465.36,6.880717,2710452.34,0.0,0.0,219,2.3599559356555666,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-25,2689126.03,6.8385436,2693839.39,0.0,0.0,219,-0.6129215894215556,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-26,2685616.1,6.8397697,2690110.8,0.0,4211.56,217,0.017929256164994634,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-27,2744428.98,6.9897021,2749079.85,0.0,0.0,217,2.1920679580776037,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-28,2718255.49,6.9171094,2722527.8,4000.0,2001.0,217,-1.0385664361861613,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.855/0001-49,2019-03-29,2718995.88,6.9180295,2722889.97,0.0,0.0,217,0.013301799159060046,WESTERN ASSET CÂMBIO DOLAR SILVER FICFI CAMBIAL,0.0,3.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
00.819.880/0001-22,2019-03-06,54660274.99,9.9560584,54662690.85,0.0,3000.0,367,1.4502780389764158,WESTERN ASSET CÂMBIO DOLAR PRIME FICFI CAMBIAL,0.0,1.0,60.701.190/0001-04,ITAU UNIBANCO S.A.
