,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3493.2401581749145
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,585.1190253387977
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1141.1958793308095
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7752.342836903277
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,17344.608347975663
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12909.745872152387
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4516.093672914349
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2158.963113759575
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,1478.9627018822575
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3617.5544872293685
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6448.891301852127
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,786.5687471602287
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,989.0328244607372
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,857.089324841334
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,714.7917293336031
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1369.00284964421
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,606.649218248418
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,17976.4858028951
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4234.999897434009
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,830.6207720547009
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4170.090140154298
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,528.2065498344309
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,4164.137901576565
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5428.400459377244
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6984.378087505422
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1053.769412184105
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2113.513353313736
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1874.903833763372
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1039.7143753709734
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2174.3331232610217
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4933.3504274676525
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,710.5842050729043
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,2767.413232482839
