year,fatal_(y/n),type,fatals_provoked,fatals_unprovoked,non_fatals_provoked,non_fatals_unprovoked
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,provoked,False,False,True,False
2018.0,n,unprovoked,False,False,False,True
2018.0,y,unprovoked,False,True,False,False
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,provoked,False,False,True,False
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,provoked,False,False,True,False
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,provoked,False,False,True,False
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2018.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,provoked,False,False,True,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,y,unprovoked,False,True,False,False
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,provoked,False,False,True,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,provoked,False,False,True,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,provoked,False,False,True,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,provoked,False,False,True,False
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,y,unprovoked,False,True,False,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,provoked,False,False,True,False
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2017.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,provoked,False,False,True,False
2016.0,n,unprovoked,False,False,False,True
2016.0,n,provoked,False,False,True,False
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
2016.0,n,unprovoked,False,False,False,True
