year,sex
2018.0,f
2018.0,f
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,f
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,f
2018.0,m
2018.0,m
2018.0,f
2018.0,f
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2018.0,m
2017.0,f
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,f
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,f
2017.0,m
2017.0,m
2017.0,f
2017.0,f
2017.0,f
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,m
2017.0,f
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,f
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,f
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,f
2017.0,m
2017.0,m
2017.0,m
2017.0,m
